,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,return,volatility,expected_return,risk_factor,strategy
0,0,1671408000,135.816,136.597,135.808,136.086,8991,2,0,0.0,0.0,0.0,0.0,-1
1,1,1671418800,136.087,136.35,135.767,136.261,11640,2,0,0.0012851254031441058,0.0,0.0,0.0,-1
2,2,1671429600,136.255,136.26,135.941,136.071,7542,0,0,-0.0013953558952145275,0.0,0.0,0.0,-1
3,3,1671440400,136.071,136.163,135.749,136.121,22619,0,0,0.0003673877304431773,0.0,0.0,0.0,-1
4,4,1671451200,136.122,136.56,135.981,136.374,20355,0,0,0.001856915339350405,0.0,0.0,0.0,3
5,5,1671462000,136.374,137.011,136.349,136.974,20832,0,0,0.0043900153914529175,0.0,0.0,0.0,3
6,6,1671472800,136.973,137.162,136.717,136.858,14474,0,0,-0.000847234851578919,0.0,0.0,0.0,-1
7,7,1671483600,136.858,137.051,136.852,136.906,9311,2,0,0.00035066700144553855,0.0,0.0,0.0,-1
8,8,1671494400,136.894,137.358,136.675,137.325,7271,2,0,0.003055820283287285,0.0,0.0,0.0,3
9,9,1671505200,137.333,137.472,133.105,133.449,20327,0,0,-0.02863099684946395,0.0,0.0,0.0,-1
10,10,1671516000,133.452,133.697,132.667,133.356,26539,0,0,-0.0006971383877103876,0.0,0.0,0.0,-1
11,11,1671526800,133.359,133.373,131.993,132.054,34880,0,0,-0.009811314150919742,0.0,0.0,0.0,-1
12,12,1671537600,132.055,132.904,132.055,132.697,19683,0,0,0.004857403856941813,0.0,0.0,0.0,-1
13,13,1671548400,132.696,132.896,131.36,131.375,27966,0,0,-0.01001250450041678,0.0,0.0,0.0,-1
14,14,1671559200,131.376,131.553,130.567,131.488,26306,0,0,0.00085976350388396,0.0,0.0,0.0,-1
15,15,1671570000,131.487,131.829,131.42,131.706,12988,1,0,0.0016565730970582238,0.0,0.0,0.0,3
16,16,1671580800,131.541,131.999,131.4,131.569,8728,2,0,-0.0010407369660300153,0.0,0.0,0.0,-1
17,17,1671591600,131.569,132.314,131.51,132.063,14459,2,0,0.0037476526232141064,0.0,0.0,0.0,3
18,18,1671602400,132.068,132.372,132.04,132.185,8052,0,0,0.0009233750769605055,0.0,0.0,0.0,3
19,19,1671613200,132.182,132.214,131.544,131.668,20591,0,0,-0.00391885376818498,0.0,0.0,0.0,-1
20,20,1671624000,131.662,132.042,131.566,131.857,15048,0,0,0.0014343992593160342,0.0,0.0,0.0,-1
21,21,1671634800,131.85,132.528,131.734,131.977,24655,0,0,0.0009096629568203216,0.11610680172458586,-0.36791248615441086,-0.31558266189383,3
22,22,1671645600,131.974,132.506,131.913,132.241,13413,0,0,0.0019983505124927512,0.1163453137823102,-0.3593537848422271,-0.3237625946625028,3
23,23,1671656400,132.238,132.461,132.084,132.429,8225,1,0,0.001420637258613462,0.11676285774797276,-0.3255618669962912,-0.3586502891915868,3
