,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,return,volatility,expected_return,risk_factor,strategy
0,0,1671408000,1.05812,1.05996,1.05812,1.05991,6113,1,0,0.0,0.0,0.0,0.0,-1
1,1,1671418800,1.05993,1.06129,1.05962,1.06083,8098,0,0,0.0008676217336516176,0.0,0.0,0.0,-1
2,2,1671429600,1.06084,1.06343,1.06012,1.06292,6505,0,0,0.001968217233385082,0.0,0.0,0.0,3
3,3,1671440400,1.06292,1.0658,1.06163,1.06177,18489,0,0,-0.00108251096611769,0.0,0.0,0.0,-1
4,4,1671451200,1.06181,1.06352,1.06032,1.06063,18336,0,0,-0.0010742556630536368,0.0,0.0,0.0,-1
5,5,1671462000,1.06062,1.06157,1.05756,1.05797,22666,0,0,-0.002511093550211521,0.0,0.0,0.0,-1
6,6,1671472800,1.05798,1.06311,1.05797,1.06141,17991,0,0,0.003246235239461636,0.0,0.0,0.0,3
7,7,1671483600,1.0614,1.06145,1.06006,1.06064,10932,0,0,-0.0007257133750796669,0.0,0.0,0.0,-1
8,8,1671494400,1.06031,1.06129,1.05979,1.05999,4978,1,0,-0.0006130253937329366,0.0,0.0,0.0,-1
9,9,1671505200,1.05999,1.06515,1.05974,1.06079,20374,0,0,0.0007544394401542943,0.0,0.0,0.0,3
10,10,1671516000,1.0608,1.06156,1.05788,1.05938,17898,0,0,-0.0013300822178140181,0.0,0.0,0.0,-1
11,11,1671526800,1.05937,1.06381,1.05918,1.06372,32086,0,0,0.004088367053049247,0.0,0.0,0.0,3
12,12,1671537600,1.06368,1.06461,1.06103,1.06136,19078,0,0,-0.002221093766076765,0.0,0.0,0.0,-1
13,13,1671548400,1.06135,1.06587,1.05939,1.06401,30375,0,0,0.0024936847450032994,0.0,0.0,0.0,3
14,14,1671559200,1.06401,1.06421,1.06058,1.06061,19743,0,0,-0.0032005750697777693,0.0,0.0,0.0,-1
15,15,1671570000,1.06061,1.06293,1.05994,1.06218,10369,0,0,0.0014791856813549953,0.0,0.0,0.0,-1
16,16,1671580800,1.06232,1.06279,1.06174,1.06204,4744,1,0,-0.00013181308923045649,0.0,0.0,0.0,-1
17,17,1671591600,1.06205,1.06258,1.06127,1.06165,7917,1,0,-0.00036728524820886076,0.0,0.0,0.0,-1
18,18,1671602400,1.06165,1.06178,1.06067,1.06137,5700,0,0,-0.00026377518970481024,0.0,0.0,0.0,-1
