,Unnamed: 0,time,open,high,low,close,tick_volume,spread,real_volume,return,volatility,expected_return,risk_factor,strategy
50,50,1672153200,1.20287,1.20477,1.20023,1.20205,16703,1,0,-0.0006486810380153647,0.028474203052437533,-0.006786483767737438,-4.195722560746744,1
51,51,1672164000,1.20206,1.20332,1.20082,1.20306,10115,1,0,0.0008398784748894588,0.02821321259138373,0.019266368277893797,1.464376273952758,3
52,52,1672174800,1.20305,1.20363,1.20199,1.20319,5702,4,0,0.0001080519481570988,0.027135560305428904,-0.0058829151520800186,-4.612604398320211,3
53,53,1672185600,1.20264,1.20305,1.20077,1.20201,2599,8,0,-0.00098120746272422,0.026857636139611892,-8.847089727481716e-17,-303575943806515.44,1
54,54,1672196400,1.20201,1.20311,1.20022,1.20054,7917,8,0,-0.0012236999716439892,0.025609386071143103,-0.0441985775138607,-0.579416522242418,1
55,55,1672207200,1.20054,1.20396,1.20048,1.20325,6229,1,0,0.0022547736267623016,0.026797372587330937,-0.006580368732003452,-4.072320819500982,4
56,56,1672218000,1.20318,1.20543,1.20175,1.20293,11665,1,0,-0.0002659817651933401,0.025501782605893482,-0.036654327659964896,-0.69573729035405,1
57,57,1672228800,1.20293,1.20962,1.20264,1.20877,11859,1,0,0.004843066231209161,0.03081289398522195,0.018976420044782765,1.6237464133122104,4
58,58,1672239600,1.20879,1.21259,1.20304,1.20351,18374,1,0,-0.004361026362165259,0.034379934235253956,-0.02510023575070303,-1.369705630525443,1
59,59,1672250400,1.20352,1.20542,1.2022,1.20261,11407,1,0,-0.0007480923993594068,0.033538934099038964,-0.006484141029879185,-5.172455988309045,1
60,60,1672261200,1.20262,1.20361,1.20163,1.20175,5400,4,0,-0.0007153671136395818,0.033280586721908555,-0.03021779841802161,-1.101357096288667,1
61,61,1672272000,1.20152,1.20427,1.20101,1.20398,7285,0,0,0.0018539076610461116,0.03385981855839251,-0.016931852115654185,-1.9997705110528183,3
62,62,1672282800,1.20398,1.20506,1.2033,1.2037,6607,5,0,-0.00023258904942716354,0.033498099472422056,-0.035239392542278564,-0.9505867455641471,1
63,63,1672293600,1.20372,1.20426,1.20225,1.20268,5375,0,0,-0.000847746458237936,0.03348974509148283,-0.03487129144551205,-0.9603815546611473,1
64,64,1672304400,1.20251,1.20632,1.20146,1.20552,10168,1,0,0.002358609182447796,0.03441104348158092,0.005376477999089748,6.400294670118023,4
65,65,1672315200,1.20554,1.20554,1.20197,1.20349,9902,0,0,-0.0016853400197559159,0.0347165213434073,-0.026493594865495525,-1.3103741307911776,1
66,66,1672326000,1.20347,1.20785,1.20224,1.20544,20617,1,0,0.001618976413533239,0.034857408992779206,-0.02356988222790781,-1.4788961886074445,1
67,67,1672336800,1.20542,1.20757,1.20481,1.20673,9651,1,0,0.0010695764585243563,0.03506516018930136,-0.014609120909279742,-2.4002238332511783,3
68,68,1672347600,1.20672,1.20741,1.20533,1.20553,5400,4,0,-0.000994917711180542,0.034104462859955754,-0.05432592362486472,-0.6277751133226256,1
69,69,1672358400,1.20528,1.20662,1.20381,1.20657,3749,3,0,0.0008623191944321235,0.031387082608804975,0.0037799035442435368,8.303672895728983,2
70,70,1672369200,1.20651,1.20667,1.20407,1.20454,6559,2,0,-0.0016838721415940593,0.030359152718854438,0.017047652376778414,1.7808406722446066,2
71,71,1672380000,1.20446,1.20555,1.20381,1.20451,6316,2,0,-2.490608331208617e-05,0.030250408351831414,0.024532951833217756,1.2330521234249598,2
72,72,1672390800,1.2045,1.20754,1.20272,1.20313,12419,1,0,-0.0011463509088765794,0.030418134024137147,0.0006981992280253009,43.56655350388739,2
73,73,1672401600,1.20313,1.20655,1.20293,1.20327,12184,1,0,0.00011635638311001456,0.03041850978401952,0.0007978524474602887,38.12548282686509,2
74,74,1672412400,1.20325,1.21076,1.20096,1.20289,24807,1,0,-0.00031585597230379773,0.030233974230254864,0.008782070332505358,3.442693247211752,2
75,75,1672423200,1.20288,1.21003,1.20253,1.2067,15563,1,0,0.0031623663570794834,0.03171495042777872,0.06141486627718703,0.5164051043380592,4
76,76,1672434000,1.20634,1.20983,1.20583,1.20907,18650,20,0,0.001962107949307043,0.031496570783519535,0.05790287814772393,0.5439551848038424,3
77,77,1672639200,1.20782,1.20783,1.20662,1.20747,326,0,0,-0.0013242075312666006,0.03191696283836986,0.0452041689548448,0.7060623738100847,0
78,78,1672650000,1.20747,1.20764,1.2044,1.20458,3483,1,0,-0.00239630304755666,0.028227439194326225,-0.04166826239034505,-0.6774325967781849,1
79,79,1672660800,1.20457,1.20553,1.20455,1.20514,3324,0,0,0.0004647842986580495,0.023791001136901687,0.016241465539534653,1.4648309340675016,2
80,80,1672671600,1.20515,1.20531,1.20427,1.20439,3851,1,0,-0.0006225280649930252,0.02374089019373091,0.017748237551931233,1.3376477593487923,2
81,81,1672682400,1.20439,1.20481,1.2035,1.2046,3608,1,0,0.00017434692591644302,0.02356927610047282,0.028424806026603532,0.829179839553301,0
82,82,1672693200,1.20459,1.20492,1.20425,1.20458,1041,12,0,-1.6603159581574826e-05,0.022702995088912253,0.005978676179071295,3.7973281055738415,2
83,83,1672704000,1.20432,1.20749,1.20397,1.20537,4728,4,0,0.0006556152852110393,0.022784991953270627,0.016637128194729726,1.3695267408282883,3
84,84,1672714800,1.20535,1.20848,1.20347,1.20737,12354,5,0,0.0016578665401882752,0.0231688682779669,0.04670448417584426,0.4960737429565688,4
85,85,1672725600,1.20739,1.20847,1.20578,1.20629,9495,1,0,-0.0008949065502823166,0.022037176626938472,0.007662295383082914,2.876054175044325,2
86,86,1672736400,1.20627,1.20792,1.19003,1.19237,23416,1,0,-0.011606610580243888,0.04577969462093036,-0.11139295134277274,-0.4109747885219362,1
87,87,1672747200,1.19238,1.1974,1.19052,1.19558,13074,1,0,0.002688500122279567,0.046530155808672355,-0.09855866683781682,-0.47210618103469315,1
88,88,1672758000,1.19561,1.20577,1.1948,1.20088,23217,1,0,0.00442319808472873,0.04922865875563834,-0.058315207323364315,-0.8441821784609278,4
89,89,1672768800,1.20088,1.20115,1.19528,1.19792,14669,1,0,-0.0024679018695453994,0.04977788508446631,-0.07599101722374262,-0.6550495953739348,1
90,90,1672779600,1.19792,1.19912,1.19646,1.19655,8084,6,0,-0.0011443034571269434,0.04967195312112751,-0.1000704890424514,-0.4963696450014941,1
91,91,1672790400,1.19616,1.19944,1.19572,1.19898,5695,8,0,0.0020287792960044684,0.05012304754788166,-0.05551867179126908,-0.9028142412399005,3
92,92,1672801200,1.199,1.20011,1.19831,1.19888,8103,8,0,-8.340770525214983e-05,0.050120583487182874,-0.05622069125454984,-0.8914971048693163,1
93,93,1672812000,1.1989,1.20002,1.19716,1.19862,7964,1,0,-0.00021689259730488713,0.05000814783038936,-0.04506719151568954,-1.109635327796712,1
94,94,1672822800,1.1985,1.20865,1.19839,1.20601,21332,1,0,0.006146495108021207,0.054607905333593665,0.02729447318324477,2.000694608281202,4
95,95,1672833600,1.20602,1.20876,1.20347,1.20486,14679,3,0,-0.0009540125242934427,0.05471500266926161,0.01963659455936903,2.7863794052393844,2
96,96,1672844400,1.20486,1.20737,1.20137,1.20449,26998,1,0,-0.0003071367820438055,0.053558412000901084,-0.021997443110110437,-2.4347562456604166,1
97,97,1672855200,1.20448,1.20763,1.20194,1.20656,14430,1,0,0.001717094633957358,0.05344689134879594,-0.02493760289430666,-2.1432248951641637,3
98,98,1672866000,1.20644,1.20684,1.20408,1.20532,14539,5,0,-0.0010282436184660064,0.05337118200835263,-0.021386035940699526,-2.4956089177229206,1
99,99,1672876800,1.20523,1.20778,1.20505,1.2073,5495,6,0,0.0016413695024708173,0.052999333695121234,0.0270660346596302,1.9581491844526204,3
100,100,1672887600,1.2073,1.20772,1.20349,1.20363,9663,6,0,-0.00304447066875278,0.054084226946100926,-0.015045024949299752,-3.5948246764867076,1
101,101,1672898400,1.20363,1.20506,1.20236,1.20236,7664,1,0,-0.0010556985839102167,0.054161785337055186,-0.020243071176306054,-2.6755715506474154,1
102,102,1672909200,1.20226,1.20337,1.19997,1.20304,14517,1,0,0.0005653945440381507,0.05420187906883201,-0.01555049975884556,-3.4855393658972575,1
103,103,1672920000,1.20304,1.20381,1.19998,1.20018,11268,1,0,-0.0023801411025003274,0.054792270601273355,-0.043912955073870594,-1.247747287995115,1
104,104,1672930800,1.20019,1.20139,1.18732,1.18808,35547,1,0,-0.010132986804526792,0.06460108554021629,-0.1733761801507246,-0.3726064646484617,1
105,105,1672941600,1.18808,1.19352,1.18783,1.19291,19707,3,0,0.0040571414624234504,0.0662133950405718,-0.1445848810839025,-0.45795517860645624,1
106,106,1672952400,1.19293,1.19336,1.19057,1.19128,9844,4,0,-0.0013673409031637008,0.06626247428811251,-0.1502540933184791,-0.4410027895057896,1
107,107,1672963200,1.19098,1.19245,1.18795,1.1924,7391,7,0,0.0009397235219666662,0.052901047824759705,0.00030191590804754583,175.21782196527658,2
